port1,port2,port3,port4
2.77,0.00,0.00,0.00
1.42,0.00,0.00,0.00
1.29,0.00,0.00,0.00
6.68,0.00,0.00,0.00
6.78,0.00,0.00,0.00
-1.24,0.00,0.00,0.00
1.94,0.00,0.00,0.00
1.71,0.00,0.00,0.00
2.93,0.00,0.00,0.00
2.35,0.00,0.00,0.00
4.07,0.00,0.00,0.00
-1.94,0.00,0.00,0.00
6.46,0.00,0.00,0.00
-1.45,0.00,0.00,0.00
-0.16,0.00,0.00,0.00
3.66,0.00,0.00,0.00
2.77,0.00,0.00,0.00
3.06,0.00,0.00,0.00
2.55,0.00,0.00,0.00
7.51,0.00,0.00,0.00
8.66,0.00,0.00,0.00
0.74,0.00,0.00,0.00
2.61,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
1.46,0.00,0.00,0.00
2.76,0.00,0.00,0.00
3.07,0.00,0.00,0.00
2.24,0.00,0.00,0.00
-1.63,0.00,0.00,0.00
3.92,0.00,0.00,0.00
-0.22,0.00,0.00,0.00
-1.09,0.00,0.00,0.00
-0.27,0.00,0.00,0.00
2.12,0.00,0.00,0.00
2.55,0.00,0.00,0.00
2.57,0.00,0.00,0.00
2.72,0.00,0.00,0.00
7.88,0.00,0.00,0.00
7.43,0.00,0.00,0.00
6.72,0.00,0.00,0.00
-0.52,0.00,0.00,0.00
-0.10,0.00,0.00,0.00
3.41,0.00,0.00,0.00
2.70,0.00,0.00,0.00
2.40,0.00,0.00,0.00
2.05,0.00,0.00,0.00
-1.99,0.00,0.00,0.00
-1.98,0.00,0.00,0.00
-0.17,0.00,0.00,0.00
0.03,0.00,0.00,0.00
-0.38,0.00,0.00,0.00
1.88,0.00,0.00,0.00
2.81,0.00,0.00,0.00
2.54,0.00,0.00,0.00
2.74,0.00,0.00,0.00
8.63,0.00,0.00,0.00
7.89,0.00,0.00,0.00
0.70,0.00,0.00,0.00
6.50,0.00,0.00,0.00
-0.30,0.00,0.00,0.00
3.29,0.00,0.00,0.00
2.20,0.00,0.00,0.00
2.75,0.00,0.00,0.00
2.86,0.00,0.00,0.00
-1.98,0.00,0.00,0.00
-2.49,0.00,0.00,0.00
-0.02,0.00,0.00,0.00
-0.24,0.00,0.00,0.00
6.59,0.00,0.00,0.00
2.01,0.00,0.00,0.00
2.84,0.00,0.00,0.00
2.74,0.00,0.00,0.00
2.48,0.00,0.00,0.00
8.31,0.00,0.00,0.00
7.68,0.00,0.00,0.00
0.63,0.00,0.00,0.00
6.81,0.00,0.00,0.00
0.05,0.00,0.00,0.00
1.53,0.00,0.00,0.00
2.77,0.00,0.00,0.00
2.34,0.00,0.00,0.00
2.78,0.00,0.00,0.00
-1.79,0.00,0.00,0.00
-2.28,0.00,0.00,0.00
5.94,0.00,0.00,0.00
5.29,0.00,0.00,0.00
6.62,0.00,0.00,0.00
2.02,0.00,0.00,0.00
2.70,0.00,0.00,0.00
2.86,0.00,0.00,0.00
2.52,0.00,0.00,0.00
1.45,0.00,0.00,0.00
1.33,0.00,0.00,0.00
-0.05,0.00,0.00,0.00
1.96,0.00,0.00,0.00
6.21,0.00,0.00,0.00
2.95,0.00,0.00,0.00
2.30,0.00,0.00,0.00
2.39,0.00,0.00,0.00
2.08,0.00,0.00,0.00
-2.55,0.00,0.00,0.00
-1.79,0.00,0.00,0.00
-1.04,0.00,0.00,0.00
-0.71,0.00,0.00,0.00
6.38,0.00,0.00,0.00
3.62,0.00,0.00,0.00
2.57,0.00,0.00,0.00
2.56,0.00,0.00,0.00
2.46,0.00,0.00,0.00
1.71,0.00,0.00,0.00
3.69,0.00,0.00,0.00
0.24,0.00,0.00,0.00
6.97,0.00,0.00,0.00
6.18,0.00,0.00,0.00
3.08,0.00,0.00,0.00
2.31,0.00,0.00,0.00
2.33,0.00,0.00,0.00
2.85,0.00,0.00,0.00
3.90,0.00,0.00,0.00
2.98,0.00,0.00,0.00
-0.03,0.00,0.00,0.00
6.58,0.00,0.00,0.00
6.90,0.00,0.00,0.00
3.20,0.00,0.00,0.00
2.56,0.00,0.00,0.00
2.55,0.00,0.00,0.00
2.52,0.00,0.00,0.00
1.27,0.00,0.00,0.00
1.53,0.00,0.00,0.00
7.32,0.00,0.00,0.00
7.27,0.00,0.00,0.00
-0.18,0.00,0.00,0.00
3.45,0.00,0.00,0.00
2.29,0.00,0.00,0.00
2.21,0.00,0.00,0.00
2.92,0.00,0.00,0.00
4.45,0.00,0.00,0.00
-1.97,0.00,0.00,0.00
0.05,0.00,0.00,0.00
-0.45,0.00,0.00,0.00
0.01,0.00,0.00,0.00
2.07,0.00,0.00,0.00
2.57,0.00,0.00,0.00
2.56,0.00,0.00,0.00
2.54,0.00,0.00,0.00
8.09,0.00,0.00,0.00
1.81,0.00,0.00,0.00
7.66,0.00,0.00,0.00
-0.39,0.00,0.00,0.00
