port1,port2
38,35
1,0
5,3
18,15
62,54
68,62
51,48
22,18
1,0
5,4
18,15
65,55
66,57
48,45
7,5
0,0
7,6
21,21
67,58
60,55
44,42
0,2
0,0
13,10
39,35
69,61
57,54
43,39
3,0
6,4
16,13
59,49
68,61
55,51
30,26
1,0
6,4
18,15
69,55
65,59
51,48
11,12
0,0
7,6
18,18
71,61
61,57
45,43
1,1
1,0
11,9
33,32
70,59
58,54
43,41
2,3
3,3
15,12
52,46
67,64
55,52
32,29
0,0
7,5
18,14
67,56
67,65
50,48
13,14
0,0
7,5
18,15
71,56
64,58
47,45
3,3
0,0
9,7
29,25
71,59
60,56
44,42
0,2
1,1
14,12
45,41
73,60
57,53
40,34
0,1
6,4
17,14
61,52
66,61
53,50
23,19
0,2
5,5
17,14
68,60
63,58
48,45
7,6
0,0
6,6
22,21
71,61
60,56
43,42
0,2
0,0
12,9
38,35
70,64
57,54
42,39
0,0
4,2
17,14
56,51
67,60
53,50
29,26
0,0
6,3
18,15
68,58
67,63
50,48
11,10
0,0
7,4
19,16
71,60
60,55
45,43
1,3
0,2
10,8
33,30
68,59
59,55
43,41
0,0
3,5
16,13
50,46
73,65
56,52
36,32
1,3
6,4
17,14
65,56
66,60
51,48
18,17
1,0
5,4
17,14
68,60
63,58
47,45
5,6
0,0
9,7
26,23
72,57
61,56
44,42
1,0
0,4
13,11
44,37
70,60
58,53
40,36
0,4
5,5
17,14
59,52
67,61
54,51
24,23
0,0
6,5
19,15
66,56
65,59
50,47
9,7
0,0
7,6
19,18
68,60
61,56
46,43
1,1
0,0
12,9
36,32
71,59
58,54
42,40
2,0
4,4
16,13
55,47
70,61
56,52
34,30
0,0
6,4
18,15
65,56
67,60
51,48
15,15
0,0
7,5
18,16
71,61
63,58
46,44
3,3
0,0
10,8
31,26
71,63
59,55
43,42
0,0
1,1
15,12
50,43
71,65
56,54
37,33
2,3
6,4
17,14
62,54
68,60
53,49
21,18
0,0
5,4
17,13
69,58
62,59
47,45
5,6
0,0
8,6
24,23
70,58
60,55
44,42
0,0
0,0
13,10
42,37
73,64
58,54
41,38
3,0
5,4
16,14
57,50
69,64
54,51
26,25
0,0
7,5
19,16
67,57
68,61
50,48
10,10
0,0
7,6
19,16
67,57
62,56
46,44
2,2
1,2
10,8
35,32
67,62
58,54
42,40
0,0
6,3
15,12
52,47
67,60
55,51
33,29
0,0
6,4
18,15
65,57
67,63
50,48
15,15
0,0
7,5
19,16
72,60
63,58
47,45
3,5
0,0
11,8
31,27
69,64
60,56
45,42
0,2
4,2
13,11
48,42
68,62
57,53
39,35
0,3
6,4
17,14
61,53
69,64
53,50
22,21
0,0
7,6
19,15
71,60
64,58
48,45
6,6
0,0
8,6
23,20
68,58
61,56
45,43
0,0
0,0
13,10
41,36
73,59
58,54
42,39
1,4
6,4
17,13
57,52
68,65
54,52
29,27
0,0
6,5
17,14
69,56
68,60
51,48
13,11
0,0
7,5
17,15
66,61
61,56
46,43
3,3
2,0
11,8
34,30
72,63
58,54
43,41
1,0
4,5
15,13
53,47
68,60
55,51
34,29
0,0
7,4
17,14
66,56
68,60
51,48
16,15
0,0
6,4
17,14
70,60
62,58
46,45
3,4
0,1
8,7
26,27
72,62
59,55
43,42
0,0
5,3
13,11
47,43
68,65
56,53
39,35
1,4
5,5
16,14
62,53
66,60
53,49
22,19
0,0
7,5
17,15
66,56
64,57
48,46
7,8
1,0
7,5
22,20
67,58
60,55
45,43
1,2
3,0
13,10
41,35
71,60
58,54
42,40
0,3
5,4
16,13
57,51
68,66
55,52
31,26
0,3
5,4
17,15
66,55
66,58
51,48
11,10
0,0
6,4
18,16
67,58
60,56
45,43
1,3
0,0
11,8
32,31
73,63
59,55
43,41
2,3
3,3
16,12
51,47
68,61
57,52
34,30
2,0
6,4
17,14
64,55
69,63
51,49
16,15
0,0
6,5
18,15
71,56
64,58
48,46
5,5
1,0
8,6
25,23
67,62
59,55
43,41
0,3
0,0
13,10
43,41
70,65
56,53
40,38
3,4
5,5
17,14
60,53
68,64
53,50
25,23
0,0
6,5
18,15
70,59
64,61
48,46
7,9
0,0
7,5
19,20
67,58
61,56
45,43
2,1
3,2
11,9
36,33
70,63
57,53
43,40
0,0
6,4
16,13
56,48
68,61
55,52
32,29
0,0
6,5
17,15
67,57
65,59
51,48
14,13
0,0
7,5
18,15
71,56
63,57
47,44
2,3
0,0
11,8
31,30
68,59
59,55
41,41
2,3
5,4
15,12
49,44
72,65
56,52
36,34
3,0
6,4
18,15
64,56
70,60
53,50
18,16
1,1
5,4
17,14
68,56
63,59
48,46
6,6
1,0
8,6
26,22
71,61
59,55
44,41
0,2
0,3
12,10
41,40
68,60
57,54
41,36
1,4
5,5
16,13
60,53
67,61
54,50
26,23
0,0
6,4
17,15
66,56
68,59
49,47
9,10
